feature,mean_abs_shap
gender,0.17769107909770682
Partner,0.0514853436563164
OnlineBackup,0.044602587524491054
SeniorCitizen,0.03349722754744194
PaymentMethod,0.027834959367600567
DeviceProtection,0.024011817781130467
TotalCharges,0.023401495370548222
MonthlyCharges,0.021644526854809377
TechSupport,0.018456637914230425
StreamingMovies,0.016779973282602927
Dependents,0.0033603303250856675
PhoneService,0.0030405541488900782
StreamingTV,0.001422497457234809
MultipleLines,0.0010872538148115085
OnlineSecurity,0.0010384596238223226
Contract,0.0008648717256573336
InternetService,0.000558795676411436
PaperlessBilling,0.00011046731580669817
tenure,1.7036451026683086e-07
