feature,mean_abs_shap
gender,0.17131362542905845
PaymentMethod,0.07530655326022147
Partner,0.052450664271538446
OnlineBackup,0.047877569929370686
DeviceProtection,0.032931156475236645
SeniorCitizen,0.025589099507996177
StreamingMovies,0.025427110897609975
TotalCharges,0.024274926219244174
MonthlyCharges,0.02036187113992249
PaperlessBilling,0.017923315786290913
TechSupport,0.015409344656951722
Contract,0.014771318341263877
tenure,0.00889644720319969
MultipleLines,0.006067277452349662
StreamingTV,0.002301499940144519
OnlineSecurity,0.0009028752933721994
PhoneService,0.00041968462772977856
InternetService,0.0003815853137212497
Dependents,6.2449930701414935e-06
