feature,mean_abs_shap
gender,0.21261968774736545
Partner,0.055870866746517506
SeniorCitizen,0.048486335981854554
OnlineBackup,0.034596753903261085
PaymentMethod,0.032509592064439
DeviceProtection,0.02590555564019207
TotalCharges,0.02304196578081076
MonthlyCharges,0.017552429817647975
StreamingMovies,0.017160252988742044
TechSupport,0.015714253999044497
tenure,0.012742754697706552
StreamingTV,0.008455058406728016
PhoneService,0.004981883473818503
OnlineSecurity,0.0032412513569928703
Dependents,0.0024874433869806396
Contract,0.001859297611222914
MultipleLines,0.0017581624109297997
PaperlessBilling,0.0005100657287364186
InternetService,3.4704289088847463e-07
