feature,mean_abs_shap
gender,0.20448450319093334
PaymentMethod,0.07333563514376681
Partner,0.06382408202507847
OnlineBackup,0.04580339678504193
DeviceProtection,0.04578018100460369
SeniorCitizen,0.03931998541001232
TotalCharges,0.030538096101939062
StreamingMovies,0.030417199879884716
PaperlessBilling,0.01648663812157077
MonthlyCharges,0.01519977693005155
Contract,0.013007893257650232
TechSupport,0.010918757810071112
tenure,0.007969156687877446
MultipleLines,0.007594973836932327
PhoneService,0.0016543796715326625
OnlineSecurity,0.0015520949021136999
StreamingTV,0.0008246538478725898
InternetService,0.00016913457869862522
Dependents,2.1822051377969627e-05
