feature,mean_abs_shap
PaymentMethod,0.07485697213529302
SeniorCitizen,0.07266656099345226
Partner,0.055964253584900876
OnlineBackup,0.02789128920044749
DeviceProtection,0.023818925497215256
StreamingMovies,0.02082471557014311
gender,0.019871247556557253
TotalCharges,0.018213748345570643
MonthlyCharges,0.005034635993962488
Contract,0.003551947066327561
Dependents,0.0027456456916096317
PaperlessBilling,0.0012117450771698113
tenure,0.0010894112222517515
TechSupport,0.0009457939081825306
MultipleLines,0.0008702068844189239
PhoneService,0.0008423782667300353
StreamingTV,0.00024822581394886
OnlineSecurity,7.97842137205113e-05
InternetService,2.0463711892629417e-07
