feature,mean_abs_shap
gender,0.18900635764272886
Partner,0.053389535141953555
SeniorCitizen,0.04457711843655757
DeviceProtection,0.030647616105278327
PaymentMethod,0.027050056407538558
TotalCharges,0.02510925282010188
StreamingMovies,0.02204519213018938
OnlineBackup,0.02195664488148565
MonthlyCharges,0.01685680729880308
TechSupport,0.015690715990246584
tenure,0.011818783386889844
StreamingTV,0.00721699320366606
OnlineSecurity,0.006895769600880643
PaperlessBilling,0.001500338519830255
Contract,0.0012722733032268776
Dependents,0.0008003967490668098
PhoneService,0.00047115142190208044
MultipleLines,0.00031595196661849756
InternetService,4.4426092257011807e-07
