feature,mean_abs_shap
gender,0.14513801589189296
Partner,0.09196304704952053
PaymentMethod,0.06517114345098089
OnlineBackup,0.04514382970189325
TotalCharges,0.03546528478175752
DeviceProtection,0.030641735565142398
StreamingMovies,0.02480591075750999
SeniorCitizen,0.01724078249358184
PaperlessBilling,0.011379019041249803
Dependents,0.005151361224939078
OnlineSecurity,0.004998501970688813
PhoneService,0.0034365944288050126
MultipleLines,0.0033941825593006812
InternetService,0.003000296337405844
Contract,0.002711401969840519
MonthlyCharges,0.0021909475127855926
StreamingTV,0.0008905601828679217
TechSupport,0.0005856254053088682
tenure,2.83832708375846e-07
