feature,mean_abs_shap
PaymentMethod,0.10276121462745506
Partner,0.10034447301508331
gender,0.0926518685133081
SeniorCitizen,0.03956482850938817
PhoneService,0.008928645408960647
TotalCharges,0.005596108987155682
MultipleLines,0.003852827626504344
OnlineSecurity,0.0029738946332127287
MonthlyCharges,0.0007365149303342716
tenure,0.00011514924998116972
Dependents,6.338609609135433e-05
InternetService,0.0
DeviceProtection,0.0
TechSupport,0.0
StreamingTV,0.0
StreamingMovies,0.0
Contract,0.0
PaperlessBilling,0.0
OnlineBackup,0.0
