number,value,params_batch_size,params_dropout_rate,params_learning_rate,params_nr_epochs,params_weight_decay,params_weight_norm,state
0,0.8189935064935064,64,0.25,0.01,150,0.01,0.1,COMPLETE
1,0.8368506493506495,256,0.19172075941288885,0.007257005721594277,279,0.03690557729213761,0.07155682161754869,COMPLETE
2,0.8218344155844156,64,0.4350060741234096,0.001304907355036239,398,0.021403233140986057,0.01296065659727973,COMPLETE
