feature,mean_abs_shap
gender,0.17048752939204279
PaymentMethod,0.10508712543344592
Partner,0.04050728570935511
DeviceProtection,0.025885039459998375
SeniorCitizen,0.02386382029075613
StreamingMovies,0.016943463253777494
MonthlyCharges,0.01599679823199646
InternetService,0.011524704822641799
TotalCharges,0.008724193313854633
StreamingTV,0.006979594787500295
Contract,0.0054105038484718515
PaperlessBilling,0.004938792987567529
OnlineSecurity,0.004860638537845322
PhoneService,0.001278806736600624
MultipleLines,0.0012662870542495513
TechSupport,0.0009146765111819441
OnlineBackup,0.0004998596629079355
Dependents,0.00011906398422385423
tenure,6.796596086763965e-08
