feature,mean_abs_shap
gender,0.17290467878496918
PaymentMethod,0.09625088229251048
Partner,0.0785735972879948
MultipleLines,0.03702033446452226
StreamingMovies,0.03584617417600984
DeviceProtection,0.035249224420904654
PhoneService,0.025660938226354367
TotalCharges,0.02516332119493854
SeniorCitizen,0.016287210567489573
MonthlyCharges,0.012315876973707049
Contract,0.009849140689585267
StreamingTV,0.008542887000351645
tenure,0.0038015699202165725
PaperlessBilling,0.0023619579299710806
TechSupport,0.002328698399003651
Dependents,0.0005398809500105307
OnlineBackup,7.810736633593783e-06
InternetService,4.498542615328248e-06
OnlineSecurity,4.288377005953054e-06
