feature,mean_abs_shap
gender,0.13592826493311053
PaymentMethod,0.12751117960195987
Partner,0.029335721923286723
StreamingMovies,0.024762299190989382
SeniorCitizen,0.024418822840942697
DeviceProtection,0.023862534619743622
InternetService,0.017933000535114364
MonthlyCharges,0.016452355800258615
TechSupport,0.01474686297199999
MultipleLines,0.010790504356690994
TotalCharges,0.008376701931686445
PaperlessBilling,0.00710965144674604
OnlineSecurity,0.00646267938741172
PhoneService,0.005566812455374747
StreamingTV,0.005011967290999985
Contract,0.0042119835754546
OnlineBackup,0.002305995712491373
Dependents,0.0006139995617481563
tenure,7.173021634511099e-08
