number,value,params_batch_size,params_dropout_rate,params_learning_rate,params_nr_epochs,params_weight_decay,params_weight_norm,state
0,0.7938331517612492,256,0.19172075941288885,0.007257005721594277,279,0.03690557729213761,0.07155682161754869,COMPLETE
1,0.7899706183354793,64,0.4350060741234096,0.001304907355036239,398,0.021403233140986057,0.01296065659727973,COMPLETE
2,0.7542174243174541,64,0.2073309699952618,0.015726578854179506,490,0.06007249475906202,0.001222906594703436,COMPLETE
