feature,mean_abs_shap
gender,0.14800760557860973
PaymentMethod,0.10234928108776248
Partner,0.0478981089756047
StreamingMovies,0.044852081683780715
MultipleLines,0.04333799569188338
PhoneService,0.03226613398401333
TotalCharges,0.031243898493881685
DeviceProtection,0.031026130207947616
MonthlyCharges,0.016259821782952665
SeniorCitizen,0.015562420409340263
StreamingTV,0.011266075947414952
TechSupport,0.010514653788661154
Contract,0.002080415034329855
PaperlessBilling,0.002073744729371942
tenure,0.0018992502268622812
Dependents,0.001459737455173554
InternetService,1.0758419873880337e-06
OnlineSecurity,9.771168340341702e-07
OnlineBackup,8.691880946674025e-07
