feature,mean_abs_shap
gender,0.15663609803923953
PaymentMethod,0.07689196173312764
Partner,0.0511337788856666
StreamingMovies,0.03358517561301124
DeviceProtection,0.023269284099681924
TotalCharges,0.02211382346962733
SeniorCitizen,0.01855168782808663
PaperlessBilling,0.016094093999771086
TechSupport,0.015822779130462247
MonthlyCharges,0.01373405926272583
Contract,0.008836214744284128
StreamingTV,0.007146737309459909
OnlineBackup,0.005224417052794402
PhoneService,0.003282793691304201
MultipleLines,0.0030395621287015585
Dependents,0.0021696654700286058
OnlineSecurity,0.00029320474560372273
InternetService,0.0001413192346148779
tenure,1.774069759993085e-06
