feature,mean_abs_shap
gender,0.08668165007084609
PaymentMethod,0.055653851549327366
OnlineBackup,0.049851603944102915
TotalCharges,0.041166774139491234
Partner,0.03804347338763375
DeviceProtection,0.026568456881244987
SeniorCitizen,0.025965459859557463
StreamingMovies,0.02472192293119927
TechSupport,0.010945056368658938
PaperlessBilling,0.006238046811210608
InternetService,0.004190103871623674
Contract,0.0025963042612497994
PhoneService,0.002444221591266495
MultipleLines,0.0022614581579342473
MonthlyCharges,0.0020967726033180945
StreamingTV,0.0010941262764235333
OnlineSecurity,0.0006847243140141168
Dependents,8.549650404602376e-05
tenure,2.6199861119048657e-07
