number,value,params_batch_size,params_dropout_rate,params_learning_rate,params_nr_epochs,params_weight_decay,params_weight_norm,state
0,0.8448384096721693,32,0.25,0.01,500,0.01,0.1,COMPLETE
1,0.8443553178847297,256,0.19172075941288885,0.007257005721594277,279,0.03690557729213761,0.07155682161754869,COMPLETE
2,0.8439962282673281,64,0.4350060741234096,0.001304907355036239,398,0.021403233140986057,0.01296065659727973,COMPLETE
