feature,mean_abs_shap
gender,0.14798732233935785
PaymentMethod,0.07568520851949724
SeniorCitizen,0.06173341220393216
StreamingMovies,0.028202436239684173
DeviceProtection,0.024549782853207337
StreamingTV,0.023546514428382945
Partner,0.01961820477626873
MonthlyCharges,0.015093085090434031
TotalCharges,0.01341646846805937
OnlineBackup,0.012676536375238846
PaperlessBilling,0.007392011187802318
MultipleLines,0.005892848235959538
Contract,0.004162923614056492
PhoneService,0.0030419109014212116
OnlineSecurity,0.0018815917066890204
TechSupport,0.0017900015748125364
Dependents,0.000961458012194877
InternetService,0.00017129777406516952
tenure,5.525418503873833e-07
